"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01,google,organic,,6688,0,0,0,0
2023-06-01,organic,organic,,2034,0,0,0,0
2023-06-01,yandex,cpc,freemium,105,2273670,101,25,59573160
2023-06-01,admitad,cpa,admitad,100,0,0,0,0
2023-06-01,vk,cpc,freemium-frontend,88,284400,44,5,1352332
2023-06-01,yandex,cpc,prof-frontend,79,4513902,74,12,114156000
2023-06-01,vk,cpc,prof-python,71,146016,40,5,711128
2023-06-01,yandex,cpc,prof-python,66,2179716,65,8,40814760
2023-06-01,vk,cpc,base-python,60,157294,36,1,45360
2023-06-01,bing.com,organic,,59,0,0,0,0
2023-06-01,vk,cpc,prof-java,56,177555,24,2,930904
2023-06-01,vk,cpc,prof-data-analytics,50,53600,30,0,0
2023-06-01,yandex,cpc,prof-java,49,1445010,49,4,15937040
2023-06-01,vk,cpc,freemium-python,46,46060,25,1,3120
2023-06-01,telegram,cpp,base-python,44,0,0,0,0
