"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-01,105,yandex,cpc,freemium,21654,101,25,1654810
2023-06-01,79,yandex,cpc,prof-frontend,57138,74,12,1057000
2023-06-01,66,yandex,cpc,prof-python,33026,65,8,680246
2023-06-01,31,yandex,cpc,base-python,12524,28,7,476021
2023-06-01,71,vk,cpc,prof-python,2028,40,5,355564
2023-06-01,88,vk,cpc,freemium-frontend,3160,44,5,338083
2023-06-01,49,yandex,cpc,prof-java,29490,49,4,284590
2023-06-01,42,yandex,cpc,base-frontend,18061,41,3,268515
2023-06-01,56,vk,cpc,prof-java,3115,24,2,232726
2023-06-01,14,yandex,cpc,prof-data-analytics,10086,14,2,220264
2023-06-01,14,yandex,cpc,prof-professions-brand,4818,13,3,154287
2023-06-20,3,telegram,cpp,base-java,0,1,1,151192
2023-06-01,4,yandex,cpc,dod-php,5964,4,1,150255
2023-06-01,4,yandex,cpc,base-professions-retarget,151,4,1,134100
2023-06-25,79,admitad,cpa,admitad,0,1,1,134100
